date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-08-25,oil93,226,226,51500,4558,51500,18230.0,11639000,4196304
2015-08-25,oil97,47,47,57500,9200,57500,18400.0,2702500,1059334
2015-08-26,oil93,272,272,51500,2735,51500,18230.0,14008000,5096840
2015-08-26,oil97,38,38,57500,9200,57500,23690.0,2185000,888105
2015-08-27,oil93,236,236,51500,4339,51500,18230.0,12154000,4314141
2015-08-27,oil97,48,48,57500,6440,57500,25116.0,2760000,1168692
2015-08-28,oil93,229,229,51500,2279,51500,18230.0,11793500,4336880
2015-08-28,oil97,30,30,57500,9200,57500,27600.0,1725000,764302
2015-08-29,oil93,250,250,51500,2279,51500,18230.0,12875000,4643156
2015-08-29,oil97,46,46,57500,9200,57500,18400.0,2645000,1019084
2015-08-30,oil93,186,186,51500,5150,51500,18230.0,9579000,3351248
2015-08-30,oil97,30,30,57500,6440,57500,23920.0,1725000,702886
2015-08-31,oil93,223,223,51500,5469,51500,18230.0,11484500,4126106
2015-08-31,oil97,43,43,57500,7360,57500,27600.0,2472500,1159499
2015-09-01,oil93,273,273,50500,4558,51500,18230.0,14050500,5231503
2015-09-01,oil97,56,56,56500,9200,57500,18400.0,3218000,1231625
2015-09-02,oil93,248,248,50500,1257,50500,18198.0,12524000,4427136
2015-09-02,oil97,67,67,56500,11300,56500,25724.0,3785500,1662211
2015-09-03,oil93,214,214,50500,1818,50500,18198.0,10807000,3773435
2015-09-03,oil97,33,33,56500,9085,56500,22967.0,1864500,740594
2015-09-04,oil93,225,225,50500,3185,50500,18198.0,11362500,3993757
2015-09-04,oil97,40,40,56500,11943,56500,19981.5,2260000,955355
2015-09-05,oil93,237,237,50500,4550,50500,18198.0,11968500,4528782
2015-09-05,oil97,45,45,56500,9187,56500,27561.0,2542500,1126967
2015-09-06,oil93,240,240,50500,7370,50500,18198.0,12120000,4530811
2015-09-06,oil97,45,45,56500,9187,56500,27561.0,2542500,1085246
2015-09-07,oil93,251,251,50500,2222,50500,18198.0,12675500,4619834
